MSG:1005,0,1,"MakeMKV v1.16.3 win(x86-release) started","%1 started","MakeMKV v1.16.3 win(x86-release)"
DRV:0,2,999,12,"***","***","***"
DRV:1,2,999,12,"***","***","***"
DRV:2,0,999,0,"***","","***"
DRV:3,256,999,0,"","",""
DRV:4,256,999,0,"","",""
DRV:5,256,999,0,"","",""
DRV:6,256,999,0,"","",""
DRV:7,256,999,0,"","",""
DRV:8,256,999,0,"","",""
DRV:9,256,999,0,"","",""
DRV:10,256,999,0,"","",""
DRV:11,256,999,0,"","",""
DRV:12,256,999,0,"","",""
DRV:13,256,999,0,"","",""
DRV:14,256,999,0,"","",""
DRV:15,256,999,0,"","",""
MSG:1011,0,1,"Using LibreDrive mode (v06.2 id=765540796806)","%1","Using LibreDrive mode (v06.2 id=765540796806)"
MSG:3007,0,0,"Using direct disc access mode","Using direct disc access mode"
MSG:5085,0,0,"Loaded content hash table, will verify integrity of M2TS files.","Loaded content hash table, will verify integrity of M2TS files."
MSG:3307,16777216,2,"File 00004.mpls was added as title #0","File %1 was added as title #%2","00004.mpls","0"
MSG:3307,16777216,2,"File 00004.mpls(7) was added as title #1","File %1 was added as title #%2","00004.mpls(7)","1"
MSG:3309,16777216,2,"Title 00004.mpls(9) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00004.mpls(9)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00004.mpls(13) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00004.mpls(13)","00004.mpls"
MSG:3309,16777216,2,"Title 00004.mpls(16) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00004.mpls(16)","00004.mpls"
MSG:3309,16777216,2,"Title 00005.mpls is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00005.mpls","00004.mpls"
MSG:3309,16777216,2,"Title 00005.mpls(5) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00005.mpls(5)","00004.mpls"
MSG:3309,16777216,2,"Title 00005.mpls(10) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00005.mpls(10)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00005.mpls(11) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00005.mpls(11)","00004.mpls"
MSG:3309,16777216,2,"Title 00005.mpls(16) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00005.mpls(16)","00004.mpls"
MSG:3309,16777216,2,"Title 00006.mpls is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00006.mpls","00004.mpls"
MSG:3309,16777216,2,"Title 00006.mpls(5) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00006.mpls(5)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00006.mpls(11) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00006.mpls(11)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00006.mpls(12) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00006.mpls(12)","00004.mpls"
MSG:3309,0,2,"Title 00006.mpls(16) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00006.mpls(16)","00004.mpls"
MSG:3307,16777216,2,"File 00008.mpls was added as title #2","File %1 was added as title #%2","00008.mpls","2"
MSG:3309,16777216,2,"Title 00012.mpls is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00012.mpls","00004.mpls"
MSG:3309,16777216,2,"Title 00012.mpls(6) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00012.mpls(6)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00012.mpls(10) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00012.mpls(10)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00012.mpls(14) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00012.mpls(14)","00004.mpls"
MSG:3309,16777216,2,"Title 00012.mpls(16) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00012.mpls(16)","00004.mpls"
MSG:3309,16777216,2,"Title 00013.mpls is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00013.mpls","00004.mpls"
MSG:3309,16777216,2,"Title 00013.mpls(4) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00013.mpls(4)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00013.mpls(6) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00013.mpls(6)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00013.mpls(11) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00013.mpls(11)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00013.mpls(16) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00013.mpls(16)","00004.mpls"
MSG:3309,16777216,2,"Title 00014.mpls is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00014.mpls","00004.mpls"
MSG:3309,16777216,2,"Title 00014.mpls(1) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00014.mpls(1)","00004.mpls"
MSG:3309,16777216,2,"Title 00014.mpls(11) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00014.mpls(11)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00014.mpls(13) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00014.mpls(13)","00004.mpls"
MSG:3309,16777216,2,"Title 00014.mpls(16) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00014.mpls(16)","00004.mpls"
MSG:3309,16777216,2,"Title 00015.mpls is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00015.mpls","00004.mpls"
MSG:3309,16777216,2,"Title 00015.mpls(1) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00015.mpls(1)","00004.mpls"
MSG:3309,16777216,2,"Title 00015.mpls(3) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00015.mpls(3)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00015.mpls(4) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00015.mpls(4)","00004.mpls"
MSG:3309,16777216,2,"Title 00015.mpls(16) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00015.mpls(16)","00004.mpls"
MSG:3309,16777216,2,"Title 00021.mpls is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00021.mpls","00004.mpls"
MSG:3309,16777216,2,"Title 00021.mpls(2) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00021.mpls(2)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00021.mpls(11) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00021.mpls(11)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00021.mpls(14) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00021.mpls(14)","00004.mpls"
MSG:3309,16777216,2,"Title 00021.mpls(16) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00021.mpls(16)","00004.mpls"
MSG:3309,16777216,2,"Title 00025.mpls is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00025.mpls","00004.mpls"
MSG:3309,16777216,2,"Title 00025.mpls(8) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00025.mpls(8)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00025.mpls(14) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00025.mpls(14)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00025.mpls(15) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00025.mpls(15)","00004.mpls"
MSG:3309,16777216,2,"Title 00025.mpls(16) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00025.mpls(16)","00004.mpls"
MSG:3309,16777216,2,"Title 00031.mpls is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00031.mpls","00004.mpls"
MSG:3309,16777216,2,"Title 00031.mpls(7) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00031.mpls(7)","00004.mpls"
MSG:3309,16777216,2,"Title 00031.mpls(13) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00031.mpls(13)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00031.mpls(14) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00031.mpls(14)","00004.mpls"
MSG:3309,16777216,2,"Title 00031.mpls(16) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00031.mpls(16)","00004.mpls"
MSG:3309,16777216,2,"Title 00032.mpls is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00032.mpls","00004.mpls"
MSG:3309,16777216,2,"Title 00032.mpls(2) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00032.mpls(2)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00032.mpls(10) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00032.mpls(10)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00032.mpls(14) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00032.mpls(14)","00004.mpls"
MSG:3309,16777216,2,"Title 00032.mpls(16) is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00032.mpls(16)","00004.mpls"
MSG:3309,16777216,2,"Title 00034.mpls is equal to title 00004.mpls and was skipped","Title %1 is equal to title %2 and was skipped","00034.mpls","00004.mpls"
MSG:3309,16777216,2,"Title 00034.mpls(5) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00034.mpls(5)","00004.mpls(7)"
MSG:3309,16777216,2,"Title 00034.mpls(7) is equal to title 00004.mpls(7) and was skipped","Title %1 is equal to title %2 and was skipped","00034.mpls(7)","00004.mpls(7)"
